plot_id,tree_no,dbh,y_ifdead,below_dbh,above_dbh,notes
1mb,1,2.2,n,n,n,
1mb,1,4.6,n,n,n,
1mb,1,3.8,n,n,n,
1mb,1,8.5,n,n,n,
1mb,1,8.4,n,n,n,
1mb,1,14.1,n,n,n,
1mb,1,7.6,n,n,n,
1mb,1,6.5,n,n,n,
1mb,2,2.7,n,n,n,
1mb,2,6.8,n,n,n,
1mb,2,8.9,n,n,n,
1mb,2,10.1,n,n,n,
1mb,2,9.7,n,n,n,
1mb,2,2.4,n,n,n,
1mb,2,9.6,n,n,n,
1mb,2,5,n,n,n,
1mb,2,3.9,n,n,n,
1mb,3,6.3,n,n,n,
1mb,3,2.4,n,n,n,
1mb,3,6.2,n,n,n,
1mb,3,10.7,n,n,n,
1mb,3,3.8,n,n,n,
1mb,3,12.6,n,n,n,
1mb,3,4.7,n,n,n,
1mb,3,3.6,n,n,n,
1mb,3,3.4,n,n,n,
1mb,3,4.1,n,n,n,
1mb,3,10.3,n,n,n,
1mb,3,5.5,n,n,n,
1mb,3,4.2,n,n,n,
1mb,4,12.8,n,n,n,
1mb,4,12.2,n,n,n,
1mb,4,2.9,n,n,n,
1mb,4,12.3,n,n,n,
1mb,5,4.7,n,n,n,
1mb,5,5.2,n,n,n,
1mb,5,13.8,n,n,n,
1mb,5,3.5,n,n,n,
1mb,5,4.2,n,n,n,
1mb,5,3.7,n,n,n,
1mb,5,3.8,n,n,n,
1mb,5,12.2,n,n,n,
1mb,5,6.2,n,n,n,
1mb,5,2.9,n,n,n,
1mb,6,8,n,n,n,
1mb,6,8.3,n,n,n,
1mb,6,9.7,n,n,n,
1mb,6,8.6,n,n,n,
1mb,6,3.6,n,n,n,
1mb,6,3.3,n,n,n,
1mb,6,2.8,n,n,n,
1mb,7,6.9,n,n,n,
1mb,7,10.9,n,n,n,
1mb,7,4,n,n,n,
1mb,7,6,n,n,n,
1mb,7,5.7,n,n,n,
1mb,7,2.2,n,n,n,
1mb,7,1.3,n,n,n,
1mb,7,3.7,n,n,n,
1mb,8,9,n,n,n,
1mb,8,8.9,n,n,y,
1mb,8,8.2,n,n,n,
1mb,8,3.4,n,n,n,
1mb,8,1.8,n,n,n,
1mb,8,7.8,n,n,n,
1mb,8,9.4,n,n,n,
1mb,8,5.9,n,n,n,
1mb,8,1.9,n,n,n,
1mb,8,9.7,n,n,n,
1mb,9,3.1,n,n,n,
1mb,9,3.3,n,n,n,
1mb,9,2.5,n,n,n,
1mb,9,11,n,n,n,
1mb,9,10.8,n,n,n,
1mb,9,2.9,n,n,n,
1mb,9,5.7,n,y,n,
1mb,9,6.2,n,n,n,
1mb,10,3.2,n,n,n,
1mb,10,6.6,n,n,n,
1mb,10,2.1,n,n,n,
1mb,10,10.9,n,n,n,
1i,1,3.8,n,n,n,
1i,1,1.2,y,n,n,
1i,1,2.1,n,n,n,
1i,1,1.4,y,n,n,
